iter	Passed	Remaining
562	6261	43453
563	6272	43437
564	6282	43420
565	6292	43402
566	6302	43384
567	6312	43368
568	6323	43354
569	6334	43338
570	6344	43321
571	6354	43304
572	6364	43288
573	6375	43272
574	6385	43258
575	6396	43240
576	6406	43225
577	6416	43205
578	6427	43191
579	6437	43177
580	6448	43163
581	6458	43145
582	6468	43129
583	6478	43110
584	6489	43095
585	6499	43080
586	6510	43065
587	6520	43048
588	6530	43032
589	6540	43015
590	6551	43002
591	6562	42988
592	6572	42973
593	6583	42957
594	6593	42941
595	6603	42923
596	6615	42917
597	6627	42913
598	6639	42909
599	6652	42905
600	6664	42902
601	6676	42901
602	6688	42894
603	6699	42879
604	6709	42862
605	6719	42845
606	6729	42829
607	6740	42813
608	6750	42794
609	6760	42779
610	6770	42762
611	6781	42750
612	6793	42746
613	6804	42734
614	6815	42719
615	6825	42703
616	6836	42690
617	6846	42676
618	6857	42659
619	6867	42643
620	6877	42626
621	6887	42609
622	6897	42593
623	6908	42583
624	6919	42570
625	6929	42553
626	6940	42536
627	6950	42520
628	6960	42504
629	6971	42492
630	6981	42475
631	6991	42459
632	7001	42443
633	7012	42431
634	7024	42421
635	7036	42416
636	7048	42412
637	7060	42407
638	7071	42396
639	7083	42388
640	7094	42378
641	7105	42367
642	7116	42358
643	7128	42349
644	7139	42339
645	7150	42327
646	7161	42314
647	7172	42301
648	7182	42290
649	7194	42280
650	7205	42269
651	7216	42256
652	7227	42245
653	7238	42233
654	7249	42224
655	7260	42212
656	7271	42200
657	7282	42189
658	7293	42178
659	7304	42169
660	7316	42161
661	7327	42148
662	7337	42133
663	7348	42121
664	7359	42110
665	7370	42099
666	7380	42082
667	7391	42067
668	7401	42053
669	7412	42041
670	7423	42029
671	7433	42014
672	7443	41997
673	7454	41982
674	7464	41965
675	7474	41949
676	7485	41937
677	7496	41925
678	7506	41908
679	7516	41893
680	7527	41879
681	7537	41864
682	7548	41853
683	7559	41840
684	7570	41829
685	7580	41813
686	7590	41798
